Name,Category,Created,Tags,URL
David Stirling,Individual,12/3/14 8:54,"Biograhpical,SAS,David Stirling",
Otto Skorzeny,Individual,3/27/16 8:43,"Biograhpical,Otto Skorzeny",http://forward.com/news/336943/ht/
British Army Officers 1939-1945  -- B,Individual,7/16/18 16:26,"Biograhpical,SAS",http://www.unithistories.com/officers/Army_officers_B01.html
T. E. Lawrence,Other,10/12/15 6:58,"Biograhpical,T. E. Lawrence",http://www.wikiwand.com/en/T._E._Lawrence
כשפלסטינים ויהודים לחמו יחד בצבא הבריטי,Hebrew,10/21/15 3:17,"WWII,Commando 51",http://www.haaretz.co.il/magazine/.premium-1.2593824
Shimon Avidan,Hebrew,12/15/15 15:37,"Biograhpical,Shimon Avidan",
Special Interrogation Group,Hebrew,12/15/15 15:37,Commando 51,
Uncovering Foreign Military Innovarions.pdf,Other,12/15/15 15:37,"Military Innovations,Academic articles,journal article",
American geographers and research and analysis in the Office of Strategic Services 1941–1945.pdf,Other,12/15/15 15:39,"Academic articles,journal article",
Winston Churchill,Hebrew,12/24/15 14:49,"Biograhpical,Commando,Winston Churchill",
מצדה על הכרמל,Hebrew,12/27/15 11:20,,
"צנחני היישוב במלחמת העולם השנייה, מתוך היסטוריה יהודית",Hebrew,12/27/15 11:20,,
דאדלי קלארק,Hebrew,12/27/15 11:21,,
"גדודים עבריים, מתוך ישראל והציונות",Hebrew,12/27/15 11:21,,
Israel Carmi,Hebrew,12/27/15 11:23,"Biograhpical,Israel carmi",
אירועים מרכזיים מלחמת העולם השנייה,Hebrew,12/27/15 11:24,,
המחלקה הגרמנית,Hebrew,12/27/15 11:24,,
"מלחמת העולם השנייה, מתוך היסטוריה צבאית - אנציקלופדיה",Hebrew,12/27/15 11:24,,
הפתעות בשדה הקרב מערכות,Hebrew,12/27/15 15:42,Maarachot,
Karl Kahana,Hebrew,12/27/15 16:10,"Biograhpical,Commando 51,Karl Kahana",
"George Jellicoe, 2nd Earl Jellicoe - Wikipedia",Individual,8/2/18 5:23,"SAS,SBS,George Jellicoe","https://en.wikipedia.org/wiki/George_Jellicoe,_2nd_Earl_Jellicoe#Second_World_War"
