Name,Category,Tags,URL
David Stirling,Individual,"Biograhpical,SAS,David Stirling",
Otto Skorzeny,Individual,"Biograhpical,Otto Skorzeny",http://forward.com/news/336943/ht/
British Army Officers 1939-1945  -- B,Individual,"Biograhpical,SAS",http://www.unithistories.com/officers/Army_officers_B01.html
"George Jellicoe, 2nd Earl Jellicoe - Wikipedia",Individual,"SAS,SBS,George Jellicoe","https://en.wikipedia.org/wiki/George_Jellicoe,_2nd_Earl_Jellicoe#Second_World_War"
"Archive Catalogues : LAYCOCK, Maj Gen Sir Robert Edward (1907-1968)",Individual,"Biograhpical,Commando,Layforce",http://www.kingscollections.org/catalogues/lhcma/collection/l/la95-001/?searchterms=commando
Meet the SBS: one man strangled nine Germans with his bare hands,Individual,"UK,Commando,naval commandos,SBS",https://www.theweek.co.uk/defence/sbs-raid/45784/meet-sbs-one-man-strangled-nine-germans-his-bare-hands
David Stirling: The Phantom Major | National Army Museum,Individual,"UK,Commando,SAS,David Stirling,National Army Musuem",https://www.nam.ac.uk/explore/david-stirling
Roger Courtney: SBS pioneer | National Army Museum,Individual,"UK,naval commandos,SBS,National Army Musuem",https://www.nam.ac.uk/explore/roger-courtney-sbs-pioneer
Herbert 'Blondie' Hasler: A Cockleshell Hero | National Army Museum,Individual,"UK,naval commandos,SBS,National Army Musuem",https://www.nam.ac.uk/explore/herbert-blondie-hasler-cockleshell-hero
Nigel Clogstoun-Willmott: Covert beach surveyor | National Army Museum,Individual,"UK,Commando,naval commandos,SBS,National Army Musuem",https://www.nam.ac.uk/explore/nigel-clogstoun-willmott
Desert innovator: Bagnold's sun-compass | National Army Museum,Individual,"UK,Commando,SAS,LRDP,LRDG,National Army Musuem",https://www.nam.ac.uk/explore/sun-compass
William P. Yarborough,Individual,"US,Biographical",https://en.wikipedia.org/wiki/William_P._Yarborough
D-Day: Heroic battle in Port-en-Bessin,Operation,,https://www.telegraph.co.uk/travel/destinations/europe/france/5354580/D-Day-Heroic-battle-in-Port-en-Bessin.html
OPERATION INFATUATE - WALCHEREN,Operation,,http://www.combinedops.com/Walcheren.htm
Chronology of Significant Air Events,Operation,"Commando,Air Force",http://www.au.af.mil/au/awc/awcgate/af/100_years_of_flight.pdf
Operation Myrmidon,Operation,"UK,Commando,WWII,Commando 1",
Operation Chopper | Commando Veterans Archive,Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/chopper
Operation Bizerte,Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/book/export/html/1743
Operation Chariot,Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/book/export/html/14
Operation Bristle,Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/book/export/html/921
Operation Torch',Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/book/export/html/2671
Operation Bean' | Commando Veterans Archive,Operation,"UK,Commando,Commando 1",http://www.commandoveterans.org/OperationBean1Commando
Operation Bottle,Operation,"UK,Commando,WWII,Commando 1",http://www.commandoveterans.org/book/export/html/1744
Operation Collar | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationCollar
Operation Ambassador | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationAmbassador
Operation Claymore | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationClaymore
Operation Addition | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationAddition
Rearguard action on Crete' | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoCrete
Operation Foxrock | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/foxrock
Operation Exporter | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/Litani11Commando
Operation Chess | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/CommandoOperationChess
Messina to Palermo railway raid' | Commando Veterans Archive,Operation,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/raid_sicily_railway_bridge
